# NZ6 dispatch trace (NOVAZ_SMOKE_TRACE_NZ6)
# regenerate: make -C examples/novaz capture-z6-trace PROJECT=zork-zero
# nz6_entry=$2002 zvm_erase_line=$E6DF zvm_set_text_style=$E32F zvm_buffer_mode=$E386
# <seq> <id> <opname> count=<n> ops=<op0>,<op1>,<op2>,<op3>  (ops hex; id '--' = ROM-side hook)
327 38 push_stack count=2 ops=0008,696C,0001,0000
328 07 pull count=1 ops=69C0,0080,B84B,0000
329 0A cr_newline count=0 ops=0227,0024,0001,0003
330 0A cr_newline count=0 ops=00D3,0006,0000,0003
331 0A cr_newline count=0 ops=00D3,0006,0000,0003
332 0A cr_newline count=0 ops=00D3,0006,0000,0003
333 0A cr_newline count=0 ops=00D3,0006,0000,0003
334 0A cr_newline count=0 ops=00D3,0006,0000,0003
335 0A cr_newline count=0 ops=00D3,0006,0000,0003
336 0A cr_newline count=0 ops=00D3,0006,0000,0003
337 0A cr_newline count=0 ops=00D3,0006,0000,0003
338 0A cr_newline count=0 ops=0001,0004,0000,0003
339 02 set_window count=1 ops=0001,0004,0000,0003
340 04 set_cursor count=2 ops=0002,000A,0000,0003
341 06 set_colour count=2 ops=0002,FFFF,0000,0003
342 04 set_cursor count=2 ops=0004,0012,0000,0003
343 04 set_cursor count=2 ops=0004,0012,0000,0003
344 06 set_colour count=2 ops=0002,0009,0000,0003
345 02 set_window count=1 ops=0000,0009,0000,0003
--- turn: wait
346 0A cr_newline count=2 ops=6CB4,0000,0000,0003
347 38 push_stack count=2 ops=0001,696C,0014,000A
348 07 pull count=1 ops=696C,696C,0022,000A
349 07 pull count=0 ops=0000,0000,0022,000A
350 38 push_stack count=2 ops=0001,696C,0022,000A
351 38 push_stack count=2 ops=0001,69C0,0003,0000
352 07 pull count=1 ops=696C,696C,0003,0000
353 07 pull count=0 ops=0000,0000,0003,0000
354 38 push_stack count=2 ops=0001,696C,0003,0000
355 38 push_stack count=2 ops=0007,696C,0002,0000
356 07 pull count=1 ops=696C,696C,0002,0000
357 07 pull count=0 ops=0000,0000,0002,0000
358 38 push_stack count=2 ops=0007,696C,0002,0000
359 38 push_stack count=2 ops=0001,69C0,B82C,0000
360 07 pull count=1 ops=696C,696C,B82C,0000
361 07 pull count=0 ops=0000,0000,B82C,0000
362 38 push_stack count=2 ops=0007,696C,B82C,0000
363 38 push_stack count=2 ops=0027,696C,0004,0000
364 07 pull count=1 ops=696C,696C,0004,0000
365 07 pull count=0 ops=0000,0000,0004,0000
366 38 push_stack count=2 ops=0027,696C,0004,0000
367 38 push_stack count=2 ops=B1C4,69C0,BAF1,0000
368 38 push_stack count=2 ops=002C,696C,BAF1,0000
369 07 pull count=1 ops=696C,696C,7D62,7D50
370 07 pull count=0 ops=0000,0000,7D62,7D50
371 38 push_stack count=2 ops=002C,696C,7D62,7D50
372 38 push_stack count=2 ops=0001,69C0,BB2D,0000
373 07 pull count=1 ops=696C,696C,BB2D,0000
374 07 pull count=0 ops=0000,0000,BB2D,0000
375 38 push_stack count=2 ops=002C,696C,BB2D,0000
376 38 push_stack count=2 ops=002D,696C,0004,0000
377 07 pull count=1 ops=696C,696C,0004,0000
378 07 pull count=0 ops=0000,0000,0004,0000
379 38 push_stack count=2 ops=002D,696C,0004,0000
380 35 pop_stack count=2 ops=0003,696C,BB3E,0000
381 07 pull count=1 ops=69C0,0002,BB3E,0000
382 07 pull count=1 ops=69C0,0002,BB3E,0000
383 07 pull count=1 ops=69C0,0002,BB3E,0000
384 38 push_stack count=2 ops=0001,69C0,69EC,0000
385 07 pull count=1 ops=696C,696C,69EC,0000
386 07 pull count=0 ops=0000,0000,69EC,0000
387 38 push_stack count=2 ops=0007,696C,69EC,0000
388 38 push_stack count=2 ops=0026,696C,0005,0000
389 07 pull count=1 ops=696C,696C,0005,0000
390 07 pull count=0 ops=0000,0000,0005,0000
391 38 push_stack count=2 ops=0026,696C,0005,0000
392 38 push_stack count=2 ops=0001,69C0,BADC,0000
393 07 pull count=1 ops=696C,696C,BADC,0000
394 07 pull count=0 ops=0000,0000,BADC,0000
395 38 push_stack count=2 ops=0026,696C,BADC,0000
396 38 push_stack count=2 ops=002E,696C,0006,0000
397 07 pull count=1 ops=696C,696C,0006,0000
398 07 pull count=0 ops=0000,0000,0006,0000
399 38 push_stack count=2 ops=002E,696C,0006,0000
400 35 pop_stack count=2 ops=0002,696C,BB48,0000
401 07 pull count=1 ops=69C0,0002,BB48,0000
402 07 pull count=1 ops=69C0,0002,BB48,0000
403 38 push_stack count=2 ops=0001,69C0,00BF,0084
404 07 pull count=1 ops=696C,696C,00BF,0084
405 07 pull count=0 ops=0000,0000,00BF,0084
406 38 push_stack count=2 ops=0007,696C,00BF,0084
407 38 push_stack count=2 ops=0028,696C,0003,0084
408 07 pull count=1 ops=696C,696C,0003,0084
409 07 pull count=0 ops=0000,0000,0003,0084
410 38 push_stack count=2 ops=0028,696C,0003,0084
411 38 push_stack count=2 ops=0001,69C0,BAFB,0000
412 07 pull count=1 ops=696C,696C,BAFB,0000
413 07 pull count=0 ops=0000,0000,BAFB,0000
414 38 push_stack count=2 ops=0028,696C,BAFB,0000
415 38 push_stack count=2 ops=002B,696C,0004,0000
416 07 pull count=1 ops=696C,696C,0004,0000
417 07 pull count=0 ops=0000,0000,0004,0000
418 38 push_stack count=2 ops=002B,696C,0004,0000
419 35 pop_stack count=2 ops=0003,696C,BB20,0000
420 07 pull count=1 ops=69C0,0003,BB20,0000
421 35 pop_stack count=2 ops=0002,69C0,BB20,0000
422 38 push_stack count=2 ops=6DA9,69C0,BB20,0000
423 07 pull count=1 ops=696C,696C,BB20,0000
424 07 pull count=0 ops=0000,0000,BB20,0000
425 38 push_stack count=2 ops=0001,696C,BB20,0000
426 38 push_stack count=2 ops=0008,696C,0001,0000
427 07 pull count=1 ops=696C,696C,0001,0000
428 07 pull count=0 ops=0000,0000,0001,0000
429 38 push_stack count=2 ops=0008,696C,0001,0000
430 07 pull count=1 ops=69C0,0080,B84B,0000
431 0A cr_newline count=0 ops=0000,0003,00B9,00B3
432 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
433 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
434 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
435 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
436 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
437 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
438 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
439 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
440 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
441 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
442 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
443 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
444 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
445 0A cr_newline count=0 ops=00D3,0007,00B9,00B3
446 0A cr_newline count=0 ops=0001,0004,0000,00B3
447 02 set_window count=1 ops=0001,0004,0000,00B3
448 04 set_cursor count=2 ops=0002,000A,0000,00B3
449 06 set_colour count=2 ops=0002,FFFF,0000,00B3
450 04 set_cursor count=2 ops=0004,0012,0000,00B3
451 04 set_cursor count=2 ops=0004,0012,0000,00B3
452 06 set_colour count=2 ops=0002,0009,0000,00B3
453 02 set_window count=1 ops=0000,0009,0000,00B3
--- turn: ne
454 0A cr_newline count=2 ops=6CB4,0000,0000,00B3
